numbers_of_terms,numbers_of_modes,maximum_lengths_of_terms,maximum_bosonic_occupations,circuit_types,numbers_of_qubits,nonclifford_rotation_counts,left_elbow_counts,right_elbow_counts,rescaling_factors
1,1,1,1,USP,7,0,4,3,65.98989681088176
1,1,1,1,ASP,6,0,4,3,32.99494840544088
527,1,1,1,USP,14,16,26,20,935.5580860490186
527,1,1,1,ASP,13,20,26,20,355.5105019133726
1053,1,1,1,USP,14,16,26,20,644.2732076395725
1053,1,1,1,ASP,13,20,26,20,321.74069912384704
1579,1,1,1,USP,14,16,26,20,1077.5956465493753
1579,1,1,1,ASP,13,20,26,20,380.80626329621526
2106,1,1,1,USP,14,16,26,20,676.1292513881127
2106,1,1,1,ASP,13,20,26,20,273.90165602129883
2632,1,1,1,USP,14,16,26,20,570.1851556533169
2632,1,1,1,ASP,13,20,26,20,274.4038660156702
3158,1,1,1,USP,14,16,26,20,812.5085937155477
3158,1,1,1,ASP,13,20,26,20,409.0680305991011
3684,1,1,1,USP,14,16,26,20,676.5380899007623
3684,1,1,1,ASP,13,20,26,20,332.52971534934323
4211,1,1,1,USP,14,16,26,20,585.8460895648041
4211,1,1,1,ASP,13,20,26,20,237.98697841568426
4737,1,1,1,USP,14,16,26,20,818.1734528076552
4737,1,1,1,ASP,13,20,26,20,271.28528234808925
5263,1,1,1,USP,14,16,26,20,960.5060288646316
5263,1,1,1,ASP,13,20,26,20,365.3092612406064
5789,1,1,1,USP,14,16,26,20,1083.2752822929594
5789,1,1,1,ASP,13,20,26,20,493.82348875403557
6316,1,1,1,USP,14,16,26,20,799.9146518053632
6316,1,1,1,ASP,13,20,26,20,431.77605750860994
6842,1,1,1,USP,14,16,26,20,605.7172940358215
6842,1,1,1,ASP,13,20,26,20,283.5038912481182
7368,1,1,1,USP,14,16,26,20,646.2704389159217
7368,1,1,1,ASP,13,20,26,20,300.906933763515
7894,1,1,1,USP,14,16,26,20,630.5524380142449
7894,1,1,1,ASP,13,20,26,20,284.20528019433885
8421,1,1,1,USP,14,16,26,20,1010.9560744936325
8421,1,1,1,ASP,13,20,26,20,375.8010074442816
8947,1,1,1,USP,14,16,26,20,761.7094078908337
8947,1,1,1,ASP,13,20,26,20,284.29459634127323
9473,1,1,1,USP,14,16,26,20,837.711812103232
9473,1,1,1,ASP,13,20,26,20,371.0082506600095
10000,1,1,1,USP,14,16,26,20,659.721963775775
10000,1,1,1,ASP,13,20,26,20,338.4065162116166
1,1,2,1,USP,9,4,6,5,173.182643108113
1,1,2,1,ASP,8,4,6,5,86.5913215540565
527,1,2,1,USP,19,76,114,91,9838.592484951065
527,1,2,1,ASP,18,94,114,91,2062.56092457692
1053,1,2,1,USP,19,76,114,91,6025.428455388939
1053,1,2,1,ASP,18,94,114,91,1549.409170479323
1579,1,2,1,USP,19,76,114,91,7381.53999069226
1579,1,2,1,ASP,18,94,114,91,1699.0092814360262
2106,1,2,1,USP,19,76,114,91,6190.64295392768
2106,1,2,1,ASP,18,94,114,91,1552.7320868657914
2632,1,2,1,USP,19,76,114,91,6274.6970991617745
2632,1,2,1,ASP,18,94,114,91,1603.087898861987
3158,1,2,1,USP,19,76,114,91,6918.594984764425
3158,1,2,1,ASP,18,94,114,91,1997.3036142890935
3684,1,2,1,USP,19,76,114,91,8709.846487438055
3684,1,2,1,ASP,18,94,114,91,1855.516723268358
4211,1,2,1,USP,19,76,114,91,8190.018892335338
4211,1,2,1,ASP,18,94,114,91,2249.2054158208225
4737,1,2,1,USP,19,76,114,91,4490.292309735858
4737,1,2,1,ASP,18,94,114,91,1642.3200246932035
5263,1,2,1,USP,19,76,114,91,6603.56094345244
5263,1,2,1,ASP,18,94,114,91,1585.564630867414
5789,1,2,1,USP,19,76,114,91,6252.45878922015
5789,1,2,1,ASP,18,94,114,91,1775.921859933045
6316,1,2,1,USP,19,76,114,91,7080.98438205274
6316,1,2,1,ASP,18,94,114,91,1628.6061569542746
6842,1,2,1,USP,19,76,114,91,7350.680469209185
6842,1,2,1,ASP,18,94,114,91,2380.0487744304
7368,1,2,1,USP,19,76,114,91,7183.746459823073
7368,1,2,1,ASP,18,94,114,91,2040.0080247722412
7894,1,2,1,USP,19,76,114,91,7012.548829177032
7894,1,2,1,ASP,18,94,114,91,2264.0079902346006
8421,1,2,1,USP,19,76,114,91,7504.345389349103
8421,1,2,1,ASP,18,94,114,91,2228.7896195265816
8947,1,2,1,USP,19,76,114,91,9154.012179658655
8947,1,2,1,ASP,18,94,114,91,1900.914765960803
9473,1,2,1,USP,19,76,114,91,8484.291727695381
9473,1,2,1,ASP,18,94,114,91,2040.2670591340043
10000,1,2,1,USP,19,76,114,91,7660.337296142867
10000,1,2,1,ASP,18,94,114,91,1718.2961349005443
1,1,3,1,USP,7,0,4,3,66.87540053094921
1,1,3,1,ASP,6,0,4,3,33.437700265474604
527,1,3,1,USP,21,184,294,239,21775.886589181828
527,1,3,1,ASP,20,202,294,239,5926.397891985472
1053,1,3,1,USP,21,184,294,239,28452.200833357707
1053,1,3,1,ASP,20,202,294,239,7082.338007118713
1579,1,3,1,USP,21,184,294,239,26856.505529415415
1579,1,3,1,ASP,20,202,294,239,6895.531927482014
2106,1,3,1,USP,21,184,294,239,44138.94728067435
2106,1,3,1,ASP,20,202,294,239,7205.622142072644
2632,1,3,1,USP,21,184,294,239,32866.11540436593
2632,1,3,1,ASP,20,202,294,239,8939.78481409275
3158,1,3,1,USP,21,184,294,239,33391.332747654094
3158,1,3,1,ASP,20,202,294,239,7997.596717706799
3684,1,3,1,USP,21,184,294,239,30763.310503436212
3684,1,3,1,ASP,20,202,294,239,7268.941576554288
4211,1,3,1,USP,21,184,294,239,36205.96427647648
4211,1,3,1,ASP,20,202,294,239,6209.971917200232
4737,1,3,1,USP,21,184,294,239,24720.03951593942
4737,1,3,1,ASP,20,202,294,239,6633.859242272716
5263,1,3,1,USP,21,184,294,239,30030.578311854835
5263,1,3,1,ASP,20,202,294,239,7431.099616409632
5789,1,3,1,USP,21,184,294,239,33981.953692833806
5789,1,3,1,ASP,20,202,294,239,8368.865004387208
6316,1,3,1,USP,21,184,294,239,42069.40555222067
6316,1,3,1,ASP,20,202,294,239,7927.894569655914
6842,1,3,1,USP,21,184,294,239,24433.354327968053
6842,1,3,1,ASP,20,202,294,239,7431.507137825337
7368,1,3,1,USP,21,184,294,239,37080.67923262376
7368,1,3,1,ASP,20,202,294,239,7754.756818795814
7894,1,3,1,USP,21,184,294,239,31911.266236995456
7894,1,3,1,ASP,20,202,294,239,7028.8333276806525
8421,1,3,1,USP,21,184,294,239,27865.813439215526
8421,1,3,1,ASP,20,202,294,239,7154.178353414722
8947,1,3,1,USP,21,184,294,239,30797.412039367613
8947,1,3,1,ASP,20,202,294,239,7742.682246593563
9473,1,3,1,USP,21,184,294,239,37102.53619720636
9473,1,3,1,ASP,20,202,294,239,6874.213431801649
10000,1,3,1,USP,21,184,294,239,25695.47925013922
10000,1,3,1,ASP,20,202,294,239,6462.21386224318
1,1,4,1,USP,9,4,6,5,70.26775759814021
1,1,4,1,ASP,8,4,6,5,35.133878799070104
527,1,4,1,USP,23,282,478,392,81667.53656025403
527,1,4,1,ASP,22,366,478,392,13820.737307780873
1053,1,4,1,USP,23,302,535,439,88444.9406910012
1053,1,4,1,ASP,22,366,535,439,15957.69643889434
1579,1,4,1,USP,23,310,559,459,74983.08455964272
1579,1,4,1,ASP,22,366,559,459,15027.956075936165
2106,1,4,1,USP,23,308,551,452,80210.16653765307
2106,1,4,1,ASP,22,366,551,452,19017.433664332882
2632,1,4,1,USP,23,310,558,458,122087.60018238421
2632,1,4,1,ASP,22,366,558,458,20072.438559852286
3158,1,4,1,USP,23,310,561,461,92911.08338698639
3158,1,4,1,ASP,22,366,561,461,21599.143971784386
3684,1,4,1,USP,23,316,572,469,108930.45489948212
3684,1,4,1,ASP,22,366,572,469,22272.300403291156
4211,1,4,1,USP,23,314,569,467,181547.48384700203
4211,1,4,1,ASP,22,366,569,467,26017.278174248728
4737,1,4,1,USP,23,314,569,467,164954.4051723191
4737,1,4,1,ASP,22,366,569,467,22543.94022375037
5263,1,4,1,USP,23,314,569,467,85569.80589758862
5263,1,4,1,ASP,22,366,569,467,22700.949124712468
5789,1,4,1,USP,23,314,568,466,250041.18119129678
5789,1,4,1,ASP,22,366,568,466,25245.389968917956
6316,1,4,1,USP,23,314,569,467,145714.0669163293
6316,1,4,1,ASP,22,366,569,467,25105.43546939537
6842,1,4,1,USP,23,316,572,469,149673.9159060372
6842,1,4,1,ASP,22,366,572,469,27132.418168346576
7368,1,4,1,USP,23,314,568,466,160474.9905396739
7368,1,4,1,ASP,22,366,568,466,25564.095746185583
7894,1,4,1,USP,23,314,568,466,137858.7579602609
7894,1,4,1,ASP,22,366,568,466,26741.036188136888
8421,1,4,1,USP,23,316,572,469,165251.5654337945
8421,1,4,1,ASP,22,366,572,469,27819.313610393416
8947,1,4,1,USP,23,316,572,469,123454.22733545392
8947,1,4,1,ASP,22,366,572,469,25843.249620589242
9473,1,4,1,USP,23,316,572,469,158241.7932923395
9473,1,4,1,ASP,22,366,572,469,27471.16991105093
10000,1,4,1,USP,23,316,572,469,164949.37701155434
10000,1,4,1,ASP,22,366,572,469,26877.217689269797
1,1,5,1,USP,11,6,13,10,409.112534587126
1,1,5,1,ASP,10,10,13,10,255.69533411695375
527,1,5,1,USP,23,342,652,538,85690.7035196975
527,1,5,1,ASP,22,370,652,538,18544.77831661747
1053,1,5,1,USP,25,390,754,621,205158.30790599834
1053,1,5,1,ASP,24,636,754,621,26825.210381660665
1579,1,5,1,USP,25,396,783,647,182206.05189552554
1579,1,5,1,ASP,24,636,783,647,25969.84817283035
2106,1,5,1,USP,25,412,825,681,296743.66207526054
2106,1,5,1,ASP,24,636,825,681,30477.988229594972
2632,1,5,1,USP,25,428,869,717,262896.6329528075
2632,1,5,1,ASP,24,636,869,717,36982.33613750654
3158,1,5,1,USP,25,428,874,722,230279.1435220066
3158,1,5,1,ASP,24,636,874,722,43741.61176924978
3684,1,5,1,USP,25,422,861,712,335106.597556957
3684,1,5,1,ASP,24,636,861,712,40533.62805027098
4211,1,5,1,USP,25,426,861,710,256937.97456965427
4211,1,5,1,ASP,24,636,861,710,39291.82127660857
4737,1,5,1,USP,25,432,885,731,454128.847724991
4737,1,5,1,ASP,24,636,885,731,44450.24057350089
5263,1,5,1,USP,25,436,892,736,308150.8651482032
5263,1,5,1,ASP,24,636,892,736,48039.07433946743
5789,1,5,1,USP,25,438,900,743,315194.777510405
5789,1,5,1,ASP,24,636,900,743,42768.111481547865
6316,1,5,1,USP,25,444,913,753,658137.3740391814
6316,1,5,1,ASP,24,636,913,753,57210.61076358606
6842,1,5,1,USP,25,438,896,739,320067.96744530095
6842,1,5,1,ASP,24,636,896,739,55892.58388558644
7368,1,5,1,USP,25,444,912,752,467897.7131919163
7368,1,5,1,ASP,24,636,912,752,58014.61091209745
7894,1,5,1,USP,25,440,903,745,431157.6351619044
7894,1,5,1,ASP,24,636,903,745,54413.9721440055
8421,1,5,1,USP,25,446,916,755,463764.31357806624
8421,1,5,1,ASP,24,636,916,755,57445.31341651955
8947,1,5,1,USP,25,450,924,761,434504.82286168064
8947,1,5,1,ASP,24,636,924,761,55303.51128244985
9473,1,5,1,USP,25,454,934,769,461747.83627218107
9473,1,5,1,ASP,24,636,934,769,58601.802040583054
10000,1,5,1,USP,25,454,936,771,456859.54162803775
10000,1,5,1,ASP,24,636,936,771,66268.04627322401
1,1,1,3,USP,7,0,4,3,198.42906591311493
1,1,1,3,ASP,6,0,4,3,99.21453295655746
527,1,1,3,USP,17,20,32,26,871.9155799085543
527,1,1,3,ASP,16,24,32,26,292.2144623269323
1053,1,1,3,USP,17,20,32,26,958.3488541944585
1053,1,1,3,ASP,16,24,32,26,427.0116941817972
1579,1,1,3,USP,17,20,32,26,795.6314223587874
1579,1,1,3,ASP,16,24,32,26,403.79387438247363
2106,1,1,3,USP,17,20,32,26,955.7128635580207
2106,1,1,3,ASP,16,24,32,26,344.7630929044086
2632,1,1,3,USP,17,20,32,26,1406.7293854406048
2632,1,1,3,ASP,16,24,32,26,506.3134000767011
3158,1,1,3,USP,17,20,32,26,816.8693730940936
3158,1,1,3,ASP,16,24,32,26,308.85902863279
3684,1,1,3,USP,17,20,32,26,745.5801296778184
3684,1,1,3,ASP,16,24,32,26,363.1754305354908
4211,1,1,3,USP,17,20,32,26,544.4216875178236
4211,1,1,3,ASP,16,24,32,26,264.07355618755
4737,1,1,3,USP,17,20,32,26,702.2024615254886
4737,1,1,3,ASP,16,24,32,26,309.4326757026031
5263,1,1,3,USP,17,20,32,26,1213.8406433992313
5263,1,1,3,ASP,16,24,32,26,384.4120963964683
5789,1,1,3,USP,17,20,32,26,1135.4536471249667
5789,1,1,3,ASP,16,24,32,26,429.0945127099643
6316,1,1,3,USP,17,20,32,26,1476.4768275419274
6316,1,1,3,ASP,16,24,32,26,524.0941094170589
6842,1,1,3,USP,17,20,32,26,607.0776661139718
6842,1,1,3,ASP,16,24,32,26,256.9672640198935
7368,1,1,3,USP,17,20,32,26,1347.9115180675208
7368,1,1,3,ASP,16,24,32,26,496.86568399771005
7894,1,1,3,USP,17,20,32,26,670.3260574372746
7894,1,1,3,ASP,16,24,32,26,275.4942205418141
8421,1,1,3,USP,17,20,32,26,695.1996287459103
8421,1,1,3,ASP,16,24,32,26,330.2186002495651
8947,1,1,3,USP,17,20,32,26,1391.6925255000037
8947,1,1,3,ASP,16,24,32,26,582.2929914429353
9473,1,1,3,USP,17,20,32,26,1099.908210404159
9473,1,1,3,ASP,16,24,32,26,404.2245857108441
10000,1,1,3,USP,17,20,32,26,877.7984030719726
10000,1,1,3,ASP,16,24,32,26,376.3535540501878
1,1,2,3,USP,7,0,4,3,116.98527252847293
1,1,2,3,ASP,6,0,4,3,58.49263626423647
527,1,2,3,USP,21,108,152,129,11205.580967126352
527,1,2,3,ASP,20,126,152,129,1850.2632531560832
1053,1,2,3,USP,21,108,152,129,10790.4822687509
1053,1,2,3,ASP,20,126,152,129,1963.0918381816055
1579,1,2,3,USP,21,108,152,129,12420.873300644374
1579,1,2,3,ASP,20,126,152,129,2932.4405532877545
2106,1,2,3,USP,21,108,152,129,10745.587700717377
2106,1,2,3,ASP,20,126,152,129,2000.2977895653926
2632,1,2,3,USP,21,108,152,129,17970.50063790983
2632,1,2,3,ASP,20,126,152,129,2849.6159063596087
3158,1,2,3,USP,21,108,152,129,15439.901007701661
3158,1,2,3,ASP,20,126,152,129,3182.6453827513446
3684,1,2,3,USP,21,108,152,129,10084.476418296174
3684,1,2,3,ASP,20,126,152,129,2085.001364560497
4211,1,2,3,USP,21,108,152,129,9537.820775144437
4211,1,2,3,ASP,20,126,152,129,3047.6641780002096
4737,1,2,3,USP,21,108,152,129,11954.739532759848
4737,1,2,3,ASP,20,126,152,129,3126.539176202434
5263,1,2,3,USP,21,108,152,129,12156.052549933152
5263,1,2,3,ASP,20,126,152,129,2539.295040527173
5789,1,2,3,USP,21,108,152,129,11164.511233713081
5789,1,2,3,ASP,20,126,152,129,2429.2104554191
6316,1,2,3,USP,21,108,152,129,9857.52136958018
6316,1,2,3,ASP,20,126,152,129,2111.945426930004
6842,1,2,3,USP,21,108,152,129,12129.58849512962
6842,1,2,3,ASP,20,126,152,129,2760.2391484163395
7368,1,2,3,USP,21,108,152,129,12654.446748905362
7368,1,2,3,ASP,20,126,152,129,2901.046904344077
7894,1,2,3,USP,21,108,152,129,9929.086120957387
7894,1,2,3,ASP,20,126,152,129,2654.3826309523693
8421,1,2,3,USP,21,108,152,129,8613.77386844111
8421,1,2,3,ASP,20,126,152,129,1895.5843482927164
8947,1,2,3,USP,21,108,152,129,12266.84612862252
8947,1,2,3,ASP,20,126,152,129,3279.0626841431667
9473,1,2,3,USP,21,108,152,129,9821.48907922739
9473,1,2,3,ASP,20,126,152,129,2426.6579440822547
10000,1,2,3,USP,21,108,152,129,13893.240132157993
10000,1,2,3,ASP,20,126,152,129,1912.2624998445035
1,1,3,3,USP,13,4,10,9,51.24173056675386
1,1,3,3,ASP,12,4,10,9,25.62086528337693
527,1,3,3,USP,23,298,404,350,65227.710458317146
527,1,3,3,ASP,22,318,404,350,10320.32824662223
1053,1,3,3,USP,23,306,412,357,48041.06572180912
1053,1,3,3,ASP,22,324,412,357,11941.128635749883
1579,1,3,3,USP,23,306,412,357,69988.80502531967
1579,1,3,3,ASP,22,324,412,357,12255.506931614462
2106,1,3,3,USP,23,306,412,357,54607.62595814525
2106,1,3,3,ASP,22,324,412,357,11470.395688679597
2632,1,3,3,USP,23,306,412,357,42976.60257048115
2632,1,3,3,ASP,22,324,412,357,10398.953226193698
3158,1,3,3,USP,23,306,412,357,55861.21526273957
3158,1,3,3,ASP,22,324,412,357,11704.261213820104
3684,1,3,3,USP,23,306,412,357,81334.8772099445
3684,1,3,3,ASP,22,324,412,357,12810.113397059487
4211,1,3,3,USP,23,306,412,357,71618.87073604164
4211,1,3,3,ASP,22,324,412,357,13678.131386939669
4737,1,3,3,USP,23,306,412,357,62399.064544809684
4737,1,3,3,ASP,22,324,412,357,12900.466237159853
5263,1,3,3,USP,23,306,412,357,59125.15465965384
5263,1,3,3,ASP,22,324,412,357,12283.08777320938
5789,1,3,3,USP,23,306,412,357,107404.14843406911
5789,1,3,3,ASP,22,324,412,357,13836.92937335692
6316,1,3,3,USP,23,306,412,357,45773.02725728712
6316,1,3,3,ASP,22,324,412,357,11996.02885893232
6842,1,3,3,USP,23,306,412,357,80689.98615673797
6842,1,3,3,ASP,22,324,412,357,10313.469724651082
7368,1,3,3,USP,23,306,412,357,68878.10431460872
7368,1,3,3,ASP,22,324,412,357,11247.541096314557
7894,1,3,3,USP,23,306,412,357,80897.43637966314
7894,1,3,3,ASP,22,324,412,357,14274.857775373994
8421,1,3,3,USP,23,306,412,357,69376.46303466149
8421,1,3,3,ASP,22,324,412,357,11013.661070079672
8947,1,3,3,USP,23,306,412,357,79022.45375551133
8947,1,3,3,ASP,22,324,412,357,12763.545403478964
9473,1,3,3,USP,23,306,412,357,47378.0532152697
9473,1,3,3,ASP,22,324,412,357,11245.915490533796
10000,1,3,3,USP,23,306,412,357,66666.0180562718
10000,1,3,3,ASP,22,324,412,357,12461.199478165936
1,1,4,3,USP,7,0,4,3,31.79687465582259
1,1,4,3,ASP,6,0,4,3,15.898437327911296
527,1,4,3,USP,25,490,662,579,150938.88920646804
527,1,4,3,ASP,24,580,662,579,20602.03152334922
1053,1,4,3,USP,25,544,737,645,255588.9749576358
1053,1,4,3,ASP,24,616,737,645,31659.639906308137
1579,1,4,3,USP,25,570,768,672,134036.2124955222
1579,1,4,3,ASP,24,634,768,672,29645.92618739806
2106,1,4,3,USP,25,608,817,715,219521.3495318952
2106,1,4,3,ASP,24,660,817,715,36769.77285146831
2632,1,4,3,USP,25,594,802,702,263621.22950494546
2632,1,4,3,ASP,24,650,802,702,41737.02053470431
3158,1,4,3,USP,25,594,799,699,200657.14725562843
3158,1,4,3,ASP,24,650,799,699,39484.28627278092
3684,1,4,3,USP,25,608,817,715,247958.41936668105
3684,1,4,3,ASP,24,660,817,715,49959.73275256687
4211,1,4,3,USP,25,606,811,710,279053.3776516145
4211,1,4,3,ASP,24,660,811,710,38562.76278465476
4737,1,4,3,USP,25,600,808,707,267677.89979444945
4737,1,4,3,ASP,24,654,808,707,40640.55109904236
5263,1,4,3,USP,25,610,823,720,365709.9822505666
5263,1,4,3,ASP,24,660,823,720,56494.30596484003
5789,1,4,3,USP,25,610,823,720,270350.7392759004
5789,1,4,3,ASP,24,660,823,720,49054.13550914491
6316,1,4,3,USP,25,600,808,707,271887.9311839739
6316,1,4,3,ASP,24,654,808,707,55433.50941037768
6842,1,4,3,USP,25,610,823,720,411130.3312634025
6842,1,4,3,ASP,24,660,823,720,54335.719883759026
7368,1,4,3,USP,25,610,823,720,306202.58630765043
7368,1,4,3,ASP,24,660,823,720,45850.30294388187
7894,1,4,3,USP,25,608,817,715,380625.8926602733
7894,1,4,3,ASP,24,660,817,715,55296.0815792024
8421,1,4,3,USP,25,608,817,715,389490.412270922
8421,1,4,3,ASP,24,660,817,715,63340.35684982425
8947,1,4,3,USP,25,610,823,720,458518.5162381857
8947,1,4,3,ASP,24,660,823,720,63418.957061698806
9473,1,4,3,USP,25,608,817,715,361634.2164650938
9473,1,4,3,ASP,24,660,817,715,53038.18185680438
10000,1,4,3,USP,25,610,823,720,421419.0283438731
10000,1,4,3,ASP,24,660,823,720,43759.63690767413
1,1,5,3,USP,7,0,4,3,118.32959496347183
1,1,5,3,ASP,6,0,4,3,59.16479748173592
527,1,5,3,USP,25,686,952,835,382907.51381552656
527,1,5,3,ASP,24,708,952,835,40854.06413446047
1053,1,5,3,USP,27,790,1068,938,442089.78985117923
1053,1,5,3,ASP,26,1042,1068,938,48852.189712990694
1579,1,5,3,USP,27,876,1206,1061,702906.9708273264
1579,1,5,3,ASP,26,1098,1206,1061,66134.16253185993
2106,1,5,3,USP,27,888,1219,1072,1081652.412934387
2106,1,5,3,ASP,26,1106,1219,1072,77646.07511051485
2632,1,5,3,USP,27,866,1188,1045,819830.8696342319
2632,1,5,3,ASP,26,1092,1188,1045,80269.56455329098
3158,1,5,3,USP,27,886,1228,1080,785520.9049639157
3158,1,5,3,ASP,26,1102,1228,1080,82723.07275516844
3684,1,5,3,USP,27,914,1248,1098,857745.5770709296
3684,1,5,3,ASP,26,1126,1248,1098,101986.5389710891
4211,1,5,3,USP,27,910,1246,1096,858341.1168308278
4211,1,5,3,ASP,26,1122,1246,1096,93527.80830598116
4737,1,5,3,USP,27,916,1267,1114,936084.3794730383
4737,1,5,3,ASP,26,1122,1267,1114,91931.13827758917
5263,1,5,3,USP,27,946,1309,1151,1236248.6785817253
5263,1,5,3,ASP,26,1142,1309,1151,121792.87255860123
5789,1,5,3,USP,27,956,1331,1170,869073.8705936205
5789,1,5,3,ASP,26,1146,1331,1170,117333.16332535689
6316,1,5,3,USP,27,946,1313,1154,1096111.721975272
6316,1,5,3,ASP,26,1140,1313,1154,126825.90676868087
6842,1,5,3,USP,27,950,1323,1163,1198324.0017033003
6842,1,5,3,ASP,26,1142,1323,1163,129079.13487601839
7368,1,5,3,USP,27,950,1310,1152,911565.6041408303
7368,1,5,3,ASP,26,1146,1310,1152,130070.82430764133
7894,1,5,3,USP,27,958,1336,1174,1057461.3282333747
7894,1,5,3,ASP,26,1146,1336,1174,131279.37174263946
8421,1,5,3,USP,27,956,1332,1171,925100.6283940608
8421,1,5,3,ASP,26,1146,1332,1171,136873.35553512015
8947,1,5,3,USP,27,952,1317,1158,1156856.1460036826
8947,1,5,3,ASP,26,1146,1317,1158,142315.3246344078
9473,1,5,3,USP,27,946,1328,1167,1256341.1513255804
9473,1,5,3,ASP,26,1136,1328,1167,122401.71663824795
10000,1,5,3,USP,27,956,1345,1182,1057456.6379061048
10000,1,5,3,ASP,26,1142,1345,1182,155206.43168288225
1,1,1,7,USP,7,0,4,3,153.1156403262284
1,1,1,7,ASP,6,0,4,3,76.5578201631142
527,1,1,7,USP,20,28,42,36,1611.1101339597467
527,1,1,7,ASP,19,32,42,36,473.89375958377616
1053,1,1,7,USP,20,28,42,36,1795.1292144312465
1053,1,1,7,ASP,19,32,42,36,632.2608783908022
1579,1,1,7,USP,20,28,42,36,2198.2441089045524
1579,1,1,7,ASP,19,32,42,36,688.4464373993775
2106,1,1,7,USP,20,28,42,36,547.116754208353
2106,1,1,7,ASP,19,32,42,36,245.2460323985681
2632,1,1,7,USP,20,28,42,36,2014.7407267152032
2632,1,1,7,ASP,19,32,42,36,726.8150945851949
3158,1,1,7,USP,20,28,42,36,634.0480736507958
3158,1,1,7,ASP,19,32,42,36,269.361599910726
3684,1,1,7,USP,20,28,42,36,1300.2069472802332
3684,1,1,7,ASP,19,32,42,36,309.7740930514824
4211,1,1,7,USP,20,28,42,36,1736.8167043952199
4211,1,1,7,ASP,19,32,42,36,663.1965664746913
4737,1,1,7,USP,20,28,42,36,1984.5581886358812
4737,1,1,7,ASP,19,32,42,36,393.19100072304525
5263,1,1,7,USP,20,28,42,36,1203.2100374367596
5263,1,1,7,ASP,19,32,42,36,304.42425084582004
5789,1,1,7,USP,20,28,42,36,975.3253676795603
5789,1,1,7,ASP,19,32,42,36,416.9332344312385
6316,1,1,7,USP,20,28,42,36,1555.1976854899387
6316,1,1,7,ASP,19,32,42,36,578.8596400083984
6842,1,1,7,USP,20,28,42,36,865.766280440329
6842,1,1,7,ASP,19,32,42,36,229.67381265483155
7368,1,1,7,USP,20,28,42,36,1287.976863202271
7368,1,1,7,ASP,19,32,42,36,285.57652769457536
7894,1,1,7,USP,20,28,42,36,1538.9318948063315
7894,1,1,7,ASP,19,32,42,36,708.2655952367797
8421,1,1,7,USP,20,28,42,36,1252.068922238659
8421,1,1,7,ASP,19,32,42,36,567.0912803099028
8947,1,1,7,USP,20,28,42,36,1133.1990865393511
8947,1,1,7,ASP,19,32,42,36,530.6423297760226
9473,1,1,7,USP,20,28,42,36,1621.7035012084816
9473,1,1,7,ASP,19,32,42,36,502.3042271184351
10000,1,1,7,USP,20,28,42,36,1867.8877184988041
10000,1,1,7,ASP,19,32,42,36,590.4323523531622
1,1,2,7,USP,7,0,4,3,170.2877492041932
1,1,2,7,ASP,6,0,4,3,85.1438746020966
527,1,2,7,USP,24,160,216,193,18272.555936776334
527,1,2,7,ASP,23,178,216,193,3478.3192924011423
1053,1,2,7,USP,24,160,216,193,32527.104397372677
1053,1,2,7,ASP,23,178,216,193,4711.275869327171
1579,1,2,7,USP,24,160,216,193,13080.319498624136
1579,1,2,7,ASP,23,178,216,193,3181.1362312706046
2106,1,2,7,USP,24,160,216,193,36424.39675400092
2106,1,2,7,ASP,23,178,216,193,4413.7043410896285
2632,1,2,7,USP,24,160,216,193,13485.474360715794
2632,1,2,7,ASP,23,178,216,193,2433.1922778571834
3158,1,2,7,USP,24,160,216,193,17921.5669546655
3158,1,2,7,ASP,23,178,216,193,3211.035412032868
3684,1,2,7,USP,24,160,216,193,21153.534549814303
3684,1,2,7,ASP,23,178,216,193,3783.800606545392
4211,1,2,7,USP,24,160,216,193,46862.69540832629
4211,1,2,7,ASP,23,178,216,193,5580.731190710093
4737,1,2,7,USP,24,160,216,193,43309.85418350057
4737,1,2,7,ASP,23,178,216,193,4642.276686746283
5263,1,2,7,USP,24,160,216,193,15425.641390488016
5263,1,2,7,ASP,23,178,216,193,3664.0743329139814
5789,1,2,7,USP,24,160,216,193,23189.713939557558
5789,1,2,7,ASP,23,178,216,193,3984.649250856526
6316,1,2,7,USP,24,160,216,193,20964.47474675717
6316,1,2,7,ASP,23,178,216,193,3322.2176877363095
6842,1,2,7,USP,24,160,216,193,16544.90092509954
6842,1,2,7,ASP,23,178,216,193,2873.8574803783645
7368,1,2,7,USP,24,160,216,193,35514.479431621075
7368,1,2,7,ASP,23,178,216,193,4494.8033377961365
7894,1,2,7,USP,24,160,216,193,12266.230151591386
7894,1,2,7,ASP,23,178,216,193,2630.331607128246
8421,1,2,7,USP,24,160,216,193,12497.4578263092
8421,1,2,7,ASP,23,178,216,193,3017.3591582882764
8947,1,2,7,USP,24,160,216,193,22602.710350216985
8947,1,2,7,ASP,23,178,216,193,3305.786224866146
9473,1,2,7,USP,24,160,216,193,18476.485806866163
9473,1,2,7,ASP,23,178,216,193,3934.5139679439712
10000,1,2,7,USP,24,160,216,193,23000.736946030047
10000,1,2,7,ASP,23,178,216,193,4185.568175629665
1,1,3,7,USP,7,0,4,3,110.61176020266967
1,1,3,7,ASP,6,0,4,3,55.305880101334836
527,1,3,7,USP,26,458,599,545,94437.03510900385
527,1,3,7,ASP,25,478,599,545,15981.106471821413
